questionId,answer,createdAt
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:26.508Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:26.626Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:26.692Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:26.800Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:29.641Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:29.753Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:29.855Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:29.968Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:30.082Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:30.132Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:30.235Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:30.349Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:30.407Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:30.520Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:30.640Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:30.764Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:30.823Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:30.910Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:31.030Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:31.144Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:31.203Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:31.291Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:31.452Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:31.573Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:31.631Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:31.728Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:31.862Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:31.925Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:32.021Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:32.071Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:32.186Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:32.244Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:32.341Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:32.411Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:32.509Z
