questionId,location,totalCount,totalDuration,avgInterval
EZuoG6PaDLs8uiE35,market street,299,46204.127,155.04740604
Sc77Q5PCZjg832CWf,asian art museum,2,82.373,82.373
GHgMir2gLMTD4YxWo,maker faire,101,4829.729,48.29729
k45tMC8i5fksz5qYa,maker faire,71,2928.267,41.8323857143
LZCSpQCgiaiteuaKd,market street,62,8139.322,133.431508197
R3JFQ5sR9wFPyAPSd,chi 2017,11,291.313,29.1313
BvopmN6MBMADwyR3A,maker faire,79,3223.724,41.3297948718
qNNjkg4KBt6RxuuoR,market street,78,13222.178,171.716597403
kRD6eKqNFwfqYjEzf,chi 2017,19,585.292,32.5162222222
HG4uaQPuhgBCeDMWv,market street,60,9272.196,157.155864407
3gyiSKjsP3zRowhih,maker faire,271,11083.255,41.0490925926
7J9RCc7cFYDsRQzpf,chi 2017,5,29.538,7.3845
tQRrMsXECakknkKDj,maker faire,88,3800.783,43.6871609195
RJWrAWsXWZ55JkSL3,chi 2017,7,97.797,16.2995
Ka4FqpXjLL7r27RQn,asian art museum,6,153.48,30.696
vAcRfxH5iDioZ5ZBX,maker faire,2,2.042,2.042
wpFuJxW7HrFg7wNYy,maker faire,377,17888.173,47.5749281915
gmbgFbMybT8odQSgy,chi 2017,1,0.0,None
vmd2vQAnH5pGN5nJG,chi 2017,7,225.435,37.5725
DZXsQJTtvioy5HiiP,chi 2017,25,984.333,41.013875
bEEerWynEfZbKncmA,market street,108,24633.307,230.21782243
SetnuPbedhyNi229a,market street,18,6840.135,402.360882353
9fYMqjMAJsbjGvYne,asian art museum,13,159.968,13.3306666667
owpZkcaTTbM5yGEdd,asian art museum,15,600.401,42.8857857143
3gyiSKjsP3zRowhih,chi 2017,61,2530.698,42.1783
sX6s2eEDZzuqH2eb8,maker faire,232,10341.961,44.7703939394
Ka4FqpXjLL7r27RQn,maker faire,162,9381.615,58.2709006211
AGwDAaCLN2fXn778N,asian art museum,21,792.591,39.62955
7bpFZzN4SDWwtTTtv,market street,186,84744.564,458.078724324
gmbgFbMybT8odQSgy,market street,69,7907.372,116.284882353
2rJA2ZthvJfuhoE6W,chi 2017,11,141.853,14.1853
9fYMqjMAJsbjGvYne,maker faire,350,15953.147,45.7110229226
BvopmN6MBMADwyR3A,chi 2017,11,382.281,38.2281
vHAudMXdxqEsFNANh,maker faire,437,24924.652,57.1666330275
